,AUC,AP,AUC2,AP2,AUC3,AP3,D_plus,D_minus
867,0.8239425505856646,0.8127390285739493,0.7170286668356167,0.7110166365082558,0.7539988968560396,0.7531259660634522,8,7
868,0.8209073385439278,0.8118406244230486,0.7067338256149445,0.6969051163062863,0.7363807521150177,0.7427739948807818,8,7
869,0.823670565544564,0.8145818565323811,0.6353126999904685,0.6316709985916049,0.6962051170327201,0.7009103585821712,8,7
870,0.8253026201392182,0.817532190688383,0.7535207166070659,0.7421916476011303,0.7952451397220701,0.788836325834039,8,8
871,0.8306866581316253,0.8228982294307621,0.7123856418623622,0.6987414845225242,0.771385700134025,0.7614368059030919,8,8
872,0.8213192579177682,0.8116038533257468,0.6977931564782776,0.6755184562012266,0.7504652056901192,0.7439666608971762,8,8
873,0.8226817036623322,0.8146361469820298,0.6829019576272324,0.6784199387740957,0.7192502247447302,0.7168827856754441,8,8
874,0.8245529873939734,0.8178439883308382,0.7055472827422689,0.6785896827883089,0.7537046942994694,0.7693665708168089,8,8
875,0.825442693268162,0.8172620298210487,0.6929452690685786,0.6725705355597178,0.7187056073198287,0.6974225958130074,8,8
876,0.8274695342332509,0.8211435558634308,0.6919058608919169,0.6665207349751034,0.7651497353546798,0.7571888956438736,8,8
877,0.8266082926845517,0.8209056022054901,0.7164269111003904,0.7387261533975176,0.7469409236436999,0.7571445074677232,8,8
878,0.8284602226735258,0.8232615798207841,0.6640729653228342,0.6402567742594787,0.7387389486190871,0.7457303455884547,8,8
879,0.8203971403540524,0.8112917514862379,0.6573913490320011,0.6591286454366125,0.6894181729422797,0.6857437206557823,8,8
880,0.8221700564400882,0.8147299532872583,0.6626289971771021,0.6598756206248971,0.7369036049794068,0.7297082146174964,8,9
881,0.8201421162090647,0.8097999490268877,0.7007677637048266,0.6926851452917233,0.7303657880580957,0.728761665043071,8,9
882,0.8187016781016233,0.8152183411093303,0.6898136828206758,0.6766729043266702,0.7107804782629958,0.7258149725514885,8,9
883,0.8193437215814773,0.8093101340189149,0.7168736006513332,0.7076207730292055,0.7522180050526214,0.7486349446213851,8,9
884,0.8246044863374569,0.8174885964800696,0.7127353498009869,0.7103309838616096,0.7554747245866937,0.7507425513706512,8,9
885,0.8272059880013458,0.8170062256293738,0.678337009031716,0.6568792818025009,0.7329211300147028,0.7274000086524999,8,9
886,0.8138899135133095,0.8053574177098825,0.6955841361435768,0.7003886605994768,0.7290698811677834,0.739296689729426,8,9
887,0.8221094136026941,0.8125927512943131,0.6882143648424977,0.7104083359291069,0.7278603917684316,0.7445392337137957,8,9
888,0.8224160976947618,0.8139633247335911,0.7094336300990897,0.6801404810551348,0.736632966148584,0.734904746649133,8,9
889,0.8276219824317317,0.8233204629323072,0.6945604240945767,0.6774194020202425,0.7342723775567649,0.7130316059437254,8,9
890,0.8231637928450001,0.8125022308519627,0.6959087506055401,0.700632440092019,0.737041440965341,0.73410637212763,9,0
891,0.824783250296191,0.8167465676275538,0.7159821428571428,0.6960113236979466,0.7333928571428571,0.7139530281178594,9,0
892,0.8258582046877586,0.815944206471978,0.7512783682849756,0.7569489855374093,0.7606779661016948,0.7679010808383442,9,0
893,0.8211989271608626,0.8102375494161114,0.75629302612727,0.7741091367472688,0.8047036074968842,0.811279483830634,9,0
894,0.8213406047739231,0.8127927782451216,0.7300462087796682,0.7249161455473634,0.7502625498844779,0.7509042188155886,9,0
895,0.8296210919152878,0.8186642035312508,0.7401256198347108,0.7441561749433895,0.7797553719008263,0.7869486416396442,9,0
896,0.8283267895549751,0.8206823717886798,0.7038667049698362,0.6805963540306148,0.7468658431485206,0.7454228908387787,9,0
897,0.8287452267985489,0.8185577501105978,0.6550738638650727,0.6224416717255585,0.672033705000738,0.6505487674882153,9,0
898,0.8216516637223366,0.8146218699208909,0.6892158858251218,0.6618695829062932,0.7489493660277057,0.7331968664167516,9,0
899,0.8198918166868568,0.8079509431971049,0.7005535747795084,0.6659234368386382,0.7484166823043723,0.727108945740246,9,0
900,0.8340391138806196,0.8238682491867868,0.6838531338260923,0.6545386293415384,0.7240550447689442,0.737455897610279,9,1
901,0.8260222673525791,0.817916423507382,0.687263310314101,0.6595300406589433,0.7365643795945644,0.7294376845711218,9,1
902,0.835407100369642,0.823868649933262,0.65631103515625,0.6681645397136251,0.7113037109375,0.7204398435205513,9,1
