,AUC,AP,HSIC,p_value,#0.05,cov_1,delta,k
132,0.8178616039450394,0.7940066571719363,2.9720632e-06,0.8771163760870607,False,0.012208846397697926,2000,18
133,0.8688258769166142,0.8389576056956438,0.020174762,6.908179499006083e-101,True,0.7970368266105652,0,19
134,0.8348666246586852,0.7942041733999397,0.0026295488,3.0499569197093744e-26,True,0.3232218623161316,10,19
135,0.8156269691241336,0.7805774891518984,0.00011648456,0.010121519210503962,True,0.08932698518037796,100,19
136,0.7738794370930477,0.7301949357443561,4.982827e-05,0.15479840817355378,False,0.07743684202432632,200,19
137,0.7993866834698593,0.7612970284335031,1.4276052e-05,0.5097438973206151,False,0.038971975445747375,500,19
138,0.7868851081705525,0.7478650951902585,5.143342e-06,0.9225079929564612,False,0.016460629180073738,1000,19
139,0.7967317790380172,0.7638984529253265,2.5881573e-06,0.8192996062575464,False,0.011386826634407043,2000,19
140,0.887816091954023,0.8911922337074807,0.0144712655,3.761431471808007e-82,True,0.6137943267822266,0,20
141,0.868130532434932,0.8379046748800562,0.0025571696,6.570741377174959e-27,True,0.3393060564994812,10,20
142,0.8389536266349583,0.8126629974134372,0.00014234713,0.013980148447908578,True,0.0929722785949707,100,20
143,0.8433716475095785,0.8169231949925061,4.537045e-05,0.3205891352501629,False,0.03656952455639839,200,20
144,0.7992178623332012,0.7604332526784421,9.925085e-06,0.6565272283319887,False,0.023828553035855293,500,20
145,0.8517109261461223,0.8356223050702882,8.038315e-06,0.7427087050125085,False,0.03176194429397583,1000,20
146,0.845015193552649,0.8203588224453149,2.6625198e-06,0.8737921803921893,False,0.016054192557930946,2000,20
147,0.9330606265943877,0.9220638511830073,0.019501451,5.328663134467095e-103,True,0.6461467146873474,0,21
148,0.8657625159438774,0.8223639610622115,0.0009978066,8.167618840116332e-13,True,0.18630626797676086,10,21
149,0.8813576211734694,0.8603619942459948,8.097829e-05,0.13023204823690276,False,0.06915377825498581,100,21
